example_hash,example_ind,turn_ind,speaker,utterance,RobotOk-Humanoid,RobotOk-Smartspeaker
2521285744929356340,5,11,b,i do love japan ! i cannot wait to go !,4,3
2521285744929356340,5,12,a,maybe i could help you learn japanese .,5,5
2521285744929356340,5,13,b,"that would be nice , so i do not have to read subtitles .",4,4
2521285744929356340,5,14,a,ll well you need it to get around japan too .,5,5
2521285744929356340,5,15,b,"that is true , it would be very helpful !",5,5
-7736317158815164218,6,0,a,hello,5,5
-7736317158815164218,6,1,b,"hi , let me introduce myself . i am a high school teacher , and i live in chicago",5,4
-7736317158815164218,6,2,a,what do you teach,5,5
-7736317158815164218,6,3,b,math,5,5
-7736317158815164218,6,4,a,that is cool . i hate math,5,5
-7736317158815164218,6,5,b,what do you like to do over the weekends ?,5,5
-7736317158815164218,6,6,a,i like to go rollerblading in the park . you ?,3,1
-7736317158815164218,6,7,b,i like yo do yoga . i do it three times a week,2,1
-7736317158815164218,6,8,a,do you do it for exercise or meditation ?,5,5
-7736317158815164218,6,9,b,"being a mom of two kids , i have enough exercise everyday",1,1
-7736317158815164218,6,10,a,very true .,5,5
-7736317158815164218,6,11,b,what do you usually do over the weekends ?,5,5
-7736317158815164218,6,12,a,rollerblading or watching hockey games . i love hockey .,2,1
-7736317158815164218,6,13,b,i can see you are athletic . i volunteer at the red cross on weekends,3,2
-7736317158815164218,6,14,a,that is awesome . i also spend time on pinterest looking up recipes .,5,5
-7736317158815164218,6,15,b,did you find any good recipes ?,5,5
7031655980514623957,7,0,a,i play the piano at a bar . what do you do ?,3,1
7031655980514623957,7,1,b,hi ! i am in high school,3,2
7031655980514623957,7,2,a,do you like high school ?,5,5
7031655980514623957,7,3,b,its ok . people are kinda mean about me still wearing braces,2,1
7031655980514623957,7,4,a,i am sorry people are mean . surfing helped me feel better .,3,1
7031655980514623957,7,5,b,you are a surfer ? that is lit,5,5
7031655980514623957,7,6,a,yep . though i like country music . un lit . lol,5,5
7031655980514623957,7,7,b,. . . and you work at a piano bar . lol jk,5,5
7031655980514623957,7,8,a,lol . its an old time y bar . the food there is horrible though .,5,5
7031655980514623957,7,9,b,probably better than school cafeteria food . people get excited for taco day . . .,5,5
7031655980514623957,7,10,a,people think i make great tacos . ink if i would like your schools taco .,3,2
7031655980514623957,7,11,b,probably not . i want to learn to cook more,4,3
7031655980514623957,7,12,a,my family thinks my cooking is good . it takes practice . patients .,2,1
7031655980514623957,7,13,b,i think only my dogs like my cooking right now,1,1
2755037763011030999,8,0,a,hi how are you tonight,5,5
2755037763011030999,8,1,b,"i am doing well , been looking to buy a house",5,5
2755037763011030999,8,2,a,that is cool if you need a loan i am a banker,5,5
2755037763011030999,8,3,b,"thanks , we will see . i work as a nurse in the e . r .",4,3
2755037763011030999,8,4,a,that is cool i always do 40 hours,5,5
2755037763011030999,8,5,b,i am either working over time or on call a lot . and single,4,4
2755037763011030999,8,6,a,i always try to remain polite,5,5
2755037763011030999,8,7,b,i love to paddle board during when days i do not have to work .,3,1
2755037763011030999,8,8,a,"i try to work hard , but it is hard",5,5
2755037763011030999,8,9,b,it is not easy but you have too . i also play piano as a hobbie,3,2
2755037763011030999,8,10,a,i like to eat out at mcdonalds that is my hobby,1,1
2755037763011030999,8,11,b,me too ! ! i love mcd what do you like on the menu,4,4
2755037763011030999,8,12,a,i love the fries the most,2,2
2755037763011030999,8,13,b,me too . as well as their chicken burgers,3,3
1554132553650094521,9,0,a,hey ! how are you today ?,5,5
1554132553650094521,9,1,b,i am doing good . how are you ?,5,5
1554132553650094521,9,2,a,"ok , i guess . my friend is late picking me up for work .",3,1
1554132553650094521,9,3,b,that stinks . i hate being late . i love staying fit,2,1
1554132553650094521,9,4,a,it sucks so bad . i am working at mcdonald and cannot afford my own car .,2,2
1554132553650094521,9,5,b,that stinks . i am a personal trainer,5,5
1554132553650094521,9,6,a,that is what i want to be ! but i am taking a year off before i go to college .,3,3
1554132553650094521,9,7,b,oh ok that is cool . i go fishing on the wends,2,2
1554132553650094521,9,8,a,sweet . how old are you ?,5,5
1554132553650094521,9,9,b,31 . i like hiking on the wends,2,2
1554132553650094521,9,10,a,i am 18 . do you still live with your parents ? i do .,1,1
1554132553650094521,9,11,b,"no but i live near las vagas , nevada . people call me dave",5,5
